OBS,ID,SAMPL,AGE,SEX,HD,TT,DL,DB,CA,SG,ER,CL,PC
457,860,72,A,M,10,0,0,0,0,0,0,0,0
458,861,72,A,M,58,0,0,0,0,0,0,0,0
459,862,72,A,F,1,0,0,1,1,0,0,0,0
460,863,72,A,F,12,0,0,0,0,0,0,0,0
461,864,72,S,M,0,0,0,0,0,0,0,0,0
462,865,72,S,M,0,4,0,0,0,0,0,0,0
474,903,72,A,M,1,2,0,0,0,0,0,0,0
270,805,73,A,F,0,115,0,0,0,0,0,0,0
271,806,73,A,F,0,110,0,0,0,0,0,0,0
272,807,73,A,F,16,12,0,0,0,0,0,0,0
273,808,73,S,F,18,7,0,0,0,0,0,0,0
274,809,73,A,F,1,0,0,1,2,0,0,0,0
275,810,73,A,F,0,4,0,0,0,0,0,0,0
276,811,73,A,F,1,27,0,0,0,0,0,0,0
277,812,73,A,M,1,0,0,0,0,0,0,0,0
278,813,73,A,M,2,0,0,0,0,0,1,0,0
279,814,73,A,F,0,2,0,0,0,0,0,0,0
280,815,73,A,M,4,4,0,0,0,0,0,0,0
281,816,73,A,M,0,0,0,2,0,0,0,0,0
282,817,73,A,M,0,9,0,0,0,0,0,0,0
283,818,73,A,M,27,21,0,0,0,0,0,0,0
284,819,73,S,M,4,0,0,1,1,0,0,0,0
285,820,73,A,M,0,6,0,0,0,0,0,0,0
286,821,73,A,M,0,0,0,0,0,0,0,0,0
287,822,73,A,F,0,0,0,0,0,0,0,0,0
288,823,73,A,M,0,4,0,0,1,0,0,0,0
289,824,73,A,F,0,0,0,0,0,0,0,0,0
290,825,73,A,M,28,120,1,1,0,0,0,1,0
291,826,73,A,M,0,13,0,0,0,0,0,0,0
292,827,73,A,F,15,3,0,0,0,0,0,0,0
293,828,73,A,F,3,25,0,0,0,0,4,0,0
294,829,73,A,M,1,97,0,0,0,0,1,0,0
295,830,73,A,F,0,4,0,0,0,0,0,0,0
296,831,73,A,M,0,0,0,0,0,1,0,0,0
304,840,73,A,M,0,1,0,0,0,0,0,0,0
308,844,73,A,F,4,13,0,0,0,0,0,0,0
189,661,74,S,M,9,1,0,0,0,0,0,0,0
214,696,74,A,F,60,37,0,0,0,0,1,0,0
215,698,74,A,M,2,0,0,0,0,0,0,0,0
639,699,74,S,F,2,64,2,2,3,0,0,0,0
216,700,74,S,M,90,105,0,1,0,0,0,0,0
217,701,74,A,F,27,52,0,0,2,0,1,0,0
218,702,74,S,F,82,162,0,0,0,0,1,0,0
219,703,74,A,F,2,70,0,0,3,0,0,0,0
220,704,74,A,F,0,0,0,0,0,0,0,0,0
221,705,74,A,F,19,33,0,0,0,0,0,0,0
222,706,74,A,F,0,1,0,2,0,0,0,0,0
247,748,74,A,M,3,1,0,0,0,0,0,0,0
248,749,74,A,M,15,0,0,0,0,0,0,0,0
249,750,74,S,M,4,33,0,1,0,0,0,0,0
250,752,74,A,M,6,6,0,0,0,0,0,0,0
641,769,74,A,F,216,0,0,0,0,0,0,0,0
303,839,74,S,M,1,6,0,0,0,0,0,0,0
305,841,74,S,F,0,22,0,0,0,0,0,0,0
306,842,74,A,F,10,0,0,0,1,0,0,0,0
307,843,74,A,F,6,52,0,0,0,0,0,0,0
310,866,74,A,M,13,44,0,0,0,0,0,0,0
311,867,74,S,M,0,6,2,0,0,0,0,0,0
312,868,74,A,M,26,123,3,0,0,0,0,0,0
335,909,74,S,M,0,1,0,0,0,0,0,0,0
336,910,74,A,F,0,120,0,0,0,0,0,0,0
337,911,74,A,F,18,163,2,0,0,0,0,0,0
642,912,74,S,F,0,0,0,1,0,7,0,0,0
339,914,74,A,M,2,42,0,0,0,0,0,0,0
340,916,74,A,M,0,0,0,0,0,0,0,0,0
349,926,74,S,M,0,0,0,0,0,0,0,0,0
