Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-TopLab-HighTemp,Aerated,19,c8-1,Haustrum haustorium,Check datasheets,24,Siphonaria australis,EPFS & ?Lighthouse Reef,8,,0,0.03,0,,100,0,,29/06/2005 15:14,29/06/2005 16:10,,29/06/2005 23:16,30/06/2005 08:44,,0.3,0.73,0.51,10:24:00,2.26,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c16-1,Haustrum haustorium,Check datasheets,33.8,Haustrum scobina,Tauranga Head,14.1,,0,0.356,1,,100,0,,29/06/2005 16:56,29/06/2005 18:54,,29/06/2005 23:16,30/06/2005 08:44,,0.18,0.66,0.42,11:26:00,2.06,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c15-1,Haustrum haustorium,Check datasheets,35.9,Haustrum scobina,Tauranga Head,15.4,,0,0.519,1,,100,0,,29/06/2005 18:54,29/06/2005 19:51,,29/06/2005 23:16,30/06/2005 08:44,,0.14,0.58,0.36,10:25:00,2.25,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,8.2,,0,0.041,0,,100,0,,29/06/2005 19:51,29/06/2005 21:41,,29/06/2005 23:16,30/06/2005 08:44,,0.07,0.54,0.3,11:18:00,2.08,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c27-1,Haustrum haustorium,Check datasheets,27.1,Haustrum scobina,Tauranga Head,13.7,,0,0.273,1,,100,0,,29/06/2005 14:08,29/06/2005 15:10,,30/06/2005 03:48,01/07/2005 09:07,,0.53,1.79,1.16,30:21:00,0.78,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,6.8,,0,0.023,0,,90,0.001,,29/06/2005 23:16,30/06/2005 08:44,,30/06/2005 08:44,30/06/2005 10:20,,0,0.46,0.23,11:04:00,2.12,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c9-1,Haustrum haustorium,Check datasheets,39.5,Siphonaria australis,EPFS & ?Lighthouse Reef,11.9,,0,0.103,0,,100,0,,29/06/2005 23:16,30/06/2005 08:44,,30/06/2005 10:20,30/06/2005 11:34,,0.07,0.51,0.29,10:42:00,2.19,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c4-1,Haustrum haustorium,Check datasheets,29.8,Haustrum scobina,Tauranga Head,12.1,,0,0.207,1,,100,0,,29/06/2005 23:16,30/06/2005 08:44,,30/06/2005 11:34,30/06/2005 12:44,,0.12,0.56,0.34,10:38:00,2.21,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,7,,0,0.019,0,,100,0,,29/06/2005 23:16,30/06/2005 08:44,,30/06/2005 11:34,30/06/2005 12:44,,0.12,0.56,0.34,10:38:00,2.21,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c18-1,Haustrum haustorium,Check datasheets,29.2,Haustrum scobina,Tauranga Head,13.4,,0,0.348,0,,100,0,,29/06/2005 10:30,29/06/2005 11:12,,30/06/2005 12:42,30/06/2005 14:25,,1.06,1.16,1.11,02:25:00,9.03,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c20-1,Haustrum haustorium,Check datasheets,23.1,Haustrum scobina,Tauranga Head,9.4,,0,0.088,1,,100,0,,29/06/2005 10:30,29/06/2005 11:12,,30/06/2005 12:42,30/06/2005 14:25,,1.06,1.16,1.11,02:25:00,9.03,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c6-1,Haustrum haustorium,Check datasheets,30.2,Haustrum scobina,Tauranga Head,15.9,,0,0.63,1,,100,0,,29/06/2005 16:56,29/06/2005 18:54,,30/06/2005 14:29,30/06/2005 15:52,,0.82,0.96,0.89,03:21:00,6.69,0
2005,H-Times-TopLab-LowTemp,Aerated,10,c18-1,Haustrum haustorium,Check datasheets,36.3,Siphonaria australis,EPFS & ?Lighthouse Reef,9.1,,0,0.053,0,,100,0,,30/06/2005 08:33,30/06/2005 10:13,,30/06/2005 15:43,01/07/2005 08:40,,0.23,1,0.62,18:37:00,1.27,0
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c25-1,Haustrum haustorium,Check datasheets,28.4,Haustrum scobina,Tauranga Head,14.5,,0,0.259,1,,100,0,,29/06/2005 16:54,29/06/2005 18:51,,30/06/2005 15:48,01/07/2005 09:07,,0.87,1.68,1.27,19:16:00,1.23,0
