Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.2407e-09 1.3399e-06 6.6659e-04 1.3959e-06 1.1908e-02 4.9310e+00 8.2308e-15 6.7746e-30 5.5029e-05 2.6119e-01 1.5690e-06
9.1944e-09 9.9300e-06 1.2996e-03 5.3061e-06 1.9647e-02 3.6542e+01 5.6300e-14 3.1697e-28 1.4683e-04 4.3259e-01 1.9171e-05
9.1944e-09 9.9300e-06 1.2996e-03 5.3061e-06 1.9647e-02 3.6542e+01 5.6300e-14 3.1697e-28 1.4683e-04 4.3259e-01 1.9171e-05
9.1944e-09 9.9300e-06 1.2996e-03 5.3061e-06 1.9647e-02 3.6542e+01 5.6300e-14 3.1697e-28 1.4683e-04 4.3259e-01 1.9171e-05
9.1944e-09 9.9300e-06 1.2996e-03 5.3061e-06 1.9647e-02 3.6542e+01 5.6300e-14 3.1697e-28 1.4683e-04 4.3259e-01 1.9171e-05
9.8007e-12 1.0585e-08 1.3276e-04 5.5369e-08 3.5501e-03 3.8952e-02 7.8911e-17 6.2269e-34 5.1335e-06 1.0228e-01 4.6432e-09
1.6259e-11 1.7560e-08 1.5716e-04 7.7593e-08 4.0290e-03 6.4621e-02 1.2829e-16 1.6458e-33 6.5787e-06 1.1699e-01 8.7349e-09
1.6259e-11 1.7560e-08 1.5716e-04 7.7593e-08 4.0290e-03 6.4621e-02 1.2829e-16 1.6458e-33 6.5787e-06 1.1699e-01 8.7349e-09
9.8007e-12 1.0585e-08 1.3276e-04 5.5369e-08 3.5501e-03 3.8952e-02 7.8911e-17 6.2269e-34 5.1335e-06 1.0228e-01 4.6432e-09
9.8007e-12 1.0585e-08 1.3276e-04 5.5369e-08 3.5501e-03 3.8952e-02 7.8911e-17 6.2269e-34 5.1335e-06 1.0228e-01 4.6432e-09
1.6259e-11 1.7560e-08 1.5716e-04 7.7593e-08 4.0290e-03 6.4621e-02 1.2829e-16 1.6458e-33 6.5787e-06 1.1699e-01 8.7349e-09
